time,open,high,low,close,volume
2020-09-02 21:00:00,11388.54,11462.60,9960.80,10140.85,121950
2020-09-03 21:00:00,10138.29,10627.05,9875.50,10446.25,92734
2020-09-04 21:00:00,10446.25,10565.68,9825.00,10166.69,90002
2020-09-05 21:00:00,10166.69,10347.14,9994.86,10256.20,56369
2020-09-06 21:00:00,10255.89,10410.75,9875.00,10373.44,62620
2020-09-07 21:00:00,10373.45,10438.00,9850.00,10126.65,73492
2020-09-08 21:00:00,10126.66,10343.00,9981.01,10219.20,49347
2020-09-09 21:00:00,10219.29,10483.35,10070.83,10336.87,58254
2020-09-10 21:00:00,10336.86,10397.60,10200.00,10387.89,43830
2020-09-11 21:00:00,10387.89,10477.97,10269.25,10440.92,35379
2020-09-12 21:00:00,10440.67,10580.11,10200.00,10332.83,43838
2020-09-13 21:00:00,10332.84,10750.00,10212.34,10671.77,67059
2020-09-14 21:00:00,10671.77,10930.04,10606.48,10785.31,61822
2020-09-15 21:00:00,10785.23,11093.00,10661.22,10954.01,64992
2020-09-16 21:00:00,10954.01,11045.46,10745.83,10939.99,55602
2020-09-17 21:00:00,10940.00,11038.03,10812.84,10933.39,47267
2020-09-18 21:00:00,10933.40,11179.79,10887.37,11080.65,38440
2020-09-19 21:00:00,11080.64,11080.64,10723.00,10920.28,39158
2020-09-20 21:00:00,10920.28,10988.86,10296.35,10417.22,70683
2020-09-21 21:00:00,10417.22,10572.71,10353.00,10529.61,43991
2020-09-22 21:00:00,10529.61,10537.15,10136.82,10241.46,51877
2020-09-23 21:00:00,10241.46,10795.24,10190.93,10736.32,57677
2020-09-24 21:00:00,10736.33,10760.53,10556.24,10686.67,48101
2020-09-25 21:00:00,10686.57,10820.94,10644.68,10728.60,28421
2020-09-26 21:00:00,10728.59,10799.00,10594.82,10774.25,30549
2020-09-27 21:00:00,10774.26,10950.00,10626.00,10696.12,50095
2020-09-28 21:00:00,10696.11,10867.54,10635.87,10840.48,41875
2020-09-29 21:00:00,10840.58,10849.34,10665.13,10776.59,39596
2020-09-30 21:00:00,10776.59,10920.00,10437.00,10619.13,60866
2020-10-01 21:00:00,10619.13,10664.64,10374.00,10570.40,50130
2020-10-02 21:00:00,10570.40,10603.56,10496.46,10542.06,22298
2020-10-03 21:00:00,10542.07,10696.87,10517.87,10666.63,23212
2020-10-04 21:00:00,10666.62,10798.00,10615.64,10792.21,34026
2020-10-05 21:00:00,10792.20,10800.00,10525.00,10599.66,48675
2020-10-06 21:00:00,10599.65,10681.87,10546.17,10666.39,32812
2020-10-07 21:00:00,10666.40,10950.00,10530.41,10925.57,51960
2020-10-08 21:00:00,10925.44,11104.64,10829.00,11050.64,48240
2020-10-09 21:00:00,11050.64,11491.00,11050.51,11293.22,43648
2020-10-10 21:00:00,11293.22,11445.00,11221.00,11369.02,29044
2020-10-11 21:00:00,11369.02,11720.01,11172.00,11528.25,52825
2020-10-12 21:00:00,11528.24,11557.00,11300.00,11420.56,42205
2020-10-13 21:00:00,11420.57,11547.98,11280.00,11417.89,41415
2020-10-14 21:00:00,11417.89,11617.34,11250.83,11505.12,48761
2020-10-15 21:00:00,11505.13,11541.15,11200.00,11319.32,48798
2020-10-16 21:00:00,11319.24,11402.42,11255.00,11360.20,22369
2020-10-17 21:00:00,11360.31,11505.00,11346.22,11503.14,23284
2020-10-18 21:00:00,11503.14,11823.99,11407.96,11751.47,47415
2020-10-19 21:00:00,11751.46,12038.38,11677.59,11909.99,62135
2020-10-20 21:00:00,11910.00,13217.68,11886.95,12780.96,114584
2020-10-21 21:00:00,12780.75,13185.00,12678.08,12968.52,70039
2020-10-22 21:00:00,12968.84,13027.69,12720.08,12923.07,50387
2020-10-23 21:00:00,12923.06,13166.73,12870.00,13111.73,35952
2020-10-24 21:00:00,13111.73,13350.00,12888.00,13028.83,38482
2020-10-25 21:00:00,13029.64,13238.81,12765.00,13052.19,60952
2020-10-26 21:00:00,13052.15,13789.29,13019.87,13636.17,80811
2020-10-27 21:00:00,13636.16,13859.48,12888.00,13266.40,94441
2020-10-28 21:00:00,13266.40,13642.91,12920.77,13455.70,74873
2020-10-29 21:00:00,13455.69,13669.98,13115.00,13560.10,70658
2020-10-30 21:00:00,13560.10,14100.00,13411.50,13791.00,67339
2020-10-31 21:00:00,13791.00,13895.00,13603.00,13761.50,36286
2020-11-01 21:00:00,13761.49,13830.00,13195.05,13549.37,64566
2020-11-02 21:00:00,13549.63,14066.11,13284.99,14023.53,74116
2020-11-03 21:00:00,14023.53,14259.00,13525.00,14144.01,93017
2020-11-04 21:00:00,14144.01,15750.00,14093.56,15590.02,143742
2020-11-05 21:00:00,15590.02,15960.00,15166.00,15579.92,122618
2020-11-06 21:00:00,15579.93,15753.52,14344.22,14818.30,101431
2020-11-07 21:00:00,14818.30,15650.00,14703.88,15475.10,65547
2020-11-08 21:00:00,15475.10,15840.00,14805.54,15328.41,108976
2020-11-09 21:00:00,15328.41,15460.00,15072.46,15297.21,61682
2020-11-10 21:00:00,15297.21,15965.00,15272.68,15684.24,78470
2020-11-11 21:00:00,15684.25,16340.70,15440.64,16291.86,102196
2020-11-12 21:00:00,16291.85,16480.00,15952.35,16320.70,75692
2020-11-13 21:00:00,16320.04,16326.99,15670.00,16070.45,59116
2020-11-14 21:00:00,16069.56,16180.00,15774.72,15957.00,43597
2020-11-15 21:00:00,15957.00,16880.00,15864.00,16713.57,81301
2020-11-16 21:00:00,16713.08,17858.82,16538.00,17659.38,115221
2020-11-17 21:00:00,17659.38,18476.93,17214.45,17776.12,149020
2020-11-18 21:00:00,17777.75,18179.80,17335.65,17802.82,93010
2020-11-19 21:00:00,17802.81,18815.22,17740.04,18655.67,88423
2020-11-20 21:00:00,18655.66,18965.90,18308.58,18703.80,75577
2020-11-21 21:00:00,18703.80,18750.00,17610.86,18414.43,81646
2020-11-22 21:00:00,18413.88,18766.00,18000.00,18368.00,82962
2020-11-23 21:00:00,18368.01,19418.97,18018.00,19160.01,113582
2020-11-24 21:00:00,19160.00,19484.21,18500.27,18719.11,93267
2020-11-25 21:00:00,18718.83,18915.03,16188.00,17149.47,181005
2020-11-26 21:00:00,17149.47,17457.62,16438.08,17139.52,85297
2020-11-27 21:00:00,17139.53,17880.49,16865.56,17719.85,64911
2020-11-28 21:00:00,17719.84,18360.05,17517.00,18184.99,55329
2020-11-29 21:00:00,18185.00,19863.16,18184.99,19695.87,115463
2020-11-30 21:00:00,19695.87,19888.00,18001.12,18764.96,127699
2020-12-01 21:00:00,18764.96,19342.00,18330.00,19204.09,75911
2020-12-02 21:00:00,19204.08,19598.00,18867.20,19421.90,66689
2020-12-03 21:00:00,19422.34,19527.00,18565.31,18650.52,71284
2020-12-04 21:00:00,18650.51,19177.00,18500.00,19147.66,42923
2020-12-05 21:00:00,19147.66,19420.00,18857.00,19359.40,37043
2020-12-06 21:00:00,19358.67,19420.91,18902.88,19166.90,41372
2020-12-07 21:00:00,19166.90,19294.84,18200.00,18324.11,61627
2020-12-08 21:00:00,18324.11,18639.57,17650.00,18541.28,79586
2020-12-09 21:00:00,18541.29,18557.32,17911.12,18254.63,52891
2020-12-10 21:00:00,18254.81,18292.73,17572.33,18036.53,72611
2020-12-11 21:00:00,18036.53,18948.66,18020.70,18808.69,49520
2020-12-12 21:00:00,18808.69,19411.00,18711.12,19174.99,56561
2020-12-13 21:00:00,19174.99,19349.00,19000.00,19273.14,47257
2020-12-14 21:00:00,19273.69,19570.00,19050.00,19426.43,61834
2020-12-15 21:00:00,19426.43,21560.00,19278.60,21335.52,114306
2020-12-16 21:00:00,21335.52,23800.00,21230.00,22797.16,184882
2020-12-17 21:00:00,22797.15,23285.18,22350.00,23107.39,79646
2020-12-18 21:00:00,23107.39,24171.47,22750.00,23821.61,86045
2020-12-19 21:00:00,23821.60,24295.00,23060.00,23455.52,76690
2020-12-20 21:00:00,23455.54,24102.77,21815.00,22719.71,88030
2020-12-21 21:00:00,22719.88,23837.10,22353.40,23810.79,87033
2020-12-22 21:00:00,23810.79,24100.00,22600.00,23232.76,119047
2020-12-23 21:00:00,23232.39,23794.43,22703.42,23729.20,69014
2020-12-24 21:00:00,23728.99,24789.86,23433.60,24712.47,79520
2020-12-25 21:00:00,24712.47,26867.03,24500.00,26493.39,97807
2020-12-26 21:00:00,26493.40,28422.00,25700.00,26281.66,148456
2020-12-27 21:00:00,26281.54,27500.00,26101.00,27079.41,79722
2020-12-28 21:00:00,27079.42,27410.00,25880.00,27385.00,69412
2020-12-29 21:00:00,27385.00,28996.00,27320.00,28875.54,95356
2020-12-30 21:00:00,28875.55,29300.00,27850.00,28923.63,75509
2020-12-31 21:00:00,28923.63,29600.00,28624.57,29331.69,54183
