time,open,high,low,volume
2020-09-02 11:00:00,5.93410000,5.96340000,5.79000000,791366.03000000
2020-09-02 12:00:00,5.84610000,5.96000000,5.83630000,511997.25000000
2020-09-02 13:00:00,5.88310000,5.90000000,5.65000000,766388.42000000
2020-09-02 14:00:00,5.77790000,5.95890000,5.77780000,489825.47000000
2020-09-02 15:00:00,5.95240000,5.98000000,5.82090000,522211.82000000
2020-09-02 16:00:00,5.92340000,6.00210000,5.89140000,290555.43000000
2020-09-02 17:00:00,6.00320000,6.00480000,5.92090000,264346.73000000
2020-09-02 18:00:00,5.97180000,6.06030000,5.95360000,323849.28000000
2020-09-02 19:00:00,6.06090000,6.30000000,6.05780000,896745.30000000
2020-09-02 20:00:00,6.21580000,6.27230000,6.11000000,388477.08000000
2020-09-02 21:00:00,6.13750000,6.23100000,6.10310000,513641.20000000
